City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,33.8,75,100,24.05,TF,1692675771
1,isafjordur,66.0755,-23.124,46.2,92,100,3.42,IS,1692675771
2,atafu village,-8.5421,-172.5159,83.08,77,38,20.51,TK,1692675771
3,tralee,52.2704,-9.7026,57.83,93,55,7.43,IE,1692675771
4,blackmans bay,-43.0167,147.3167,50.74,93,100,2.28,AU,1692675771
5,naze,28.3667,129.4833,85.12,74,49,4.72,JP,1692675771
6,touros,-5.1989,-35.4608,77.67,77,49,12.17,BR,1692675772
7,albany,42.6001,-73.9662,66.06,72,100,5.57,US,1692675550
8,avarua,-21.2078,-159.775,77.05,65,75,9.22,CK,1692675671
9,saynshand,44.8824,110.1163,64.35,45,47,15.52,MN,1692675772
10,rota,36.6224,-6.3586,77.22,60,16,10.2,ES,1692675772
11,kalmunai,7.4167,81.8167,86.41,63,28,6.4,LK,1692675772
12,margaret river,-33.95,115.0667,58.35,67,100,9.53,AU,1692675772
13,queenstown,-31.8976,26.8753,45.75,61,10,5.41,ZA,1692675773
14,kurchatov,51.6601,35.6521,61.21,84,19,5.46,RU,1692675773
15,as samawah,31.332,45.2944,98.82,24,0,9.19,IQ,1692675773
16,manicore,-5.8092,-61.3003,79.74,40,74,1.41,BR,1692675773
17,hamilton,39.1834,-84.5333,82.0,84,0,0.0,US,1692675773
18,hoemul-li,41.4339,129.67,81.28,78,44,2.62,KP,1692675773
19,ribeira grande,38.5167,-28.7,65.77,73,12,8.99,PT,1692675773
20,puerto natales,-51.7236,-72.4875,32.86,92,100,2.68,CL,1692675773
21,kodiak,57.79,-152.4072,54.91,94,100,8.05,US,1692675479
22,plymouth,41.8334,-70.8328,72.88,92,100,12.66,US,1692675774
23,olonkinbyen,70.9221,-8.7187,42.8,87,56,5.93,SJ,1692675774
24,alvear,-29.0968,-56.5504,66.43,88,0,8.37,AR,1692675774
25,trincomalee,8.5711,81.2335,86.77,62,84,11.48,LK,1692675774
26,richards bay,-28.783,32.0377,64.27,77,13,12.12,ZA,1692675774
27,prince rupert,54.3161,-130.3201,60.49,86,0,13.8,CA,1692675615
28,ilulissat,69.2167,-51.1,60.82,39,100,17.27,GL,1692675774
29,adamstown,-25.066,-130.1015,66.45,67,100,27.36,PN,1692675775
30,puerto ayora,-0.7393,-90.3518,75.54,88,73,5.99,EC,1692675775
31,waitangi,-43.9535,-176.5597,47.82,85,62,10.0,NZ,1692675775
32,bredasdorp,-34.5322,20.0403,45.97,89,16,7.34,ZA,1692675775
33,talakan,50.3167,130.3667,63.66,96,100,7.65,RU,1692675775
34,ocean city,39.2776,-74.5746,79.0,81,48,3.0,US,1692675775
35,panjab,34.388,67.0233,61.18,26,0,5.14,AF,1692675775
36,novodvinsk,64.4165,40.8122,46.83,78,78,5.19,RU,1692675775
37,boise,43.6135,-116.2035,73.02,78,76,4.97,US,1692675558
38,lompoc,34.6391,-120.4579,71.02,83,20,5.75,US,1692675776
39,punta arenas,-53.15,-70.9167,33.91,93,100,6.91,CL,1692675776
40,bethel,41.3712,-73.414,75.65,79,75,5.75,US,1692675701
41,lacy-lakeview,31.6293,-97.1028,94.46,37,0,5.75,US,1692675776
42,sao joao da barra,-21.6403,-41.0511,72.12,89,20,3.24,BR,1692675776
43,saipan,15.1355,145.701,88.5,100,75,4.0,MP,1692675776
44,luanco,43.6152,-5.7934,70.29,93,51,6.91,ES,1692675776
45,el granada,37.5027,-122.4694,72.01,81,100,6.91,US,1692675776
46,hami,42.8,93.45,89.69,12,31,10.07,CN,1692675777
47,nikel,69.4128,30.222,44.78,86,25,0.78,RU,1692675777
48,ibipeba,-11.6408,-42.0111,73.47,64,73,8.41,BR,1692675777
49,ilhabela,-23.7781,-45.3581,68.83,84,0,4.25,BR,1692675777
50,nayoro,44.3506,142.4578,86.67,68,86,9.08,JP,1692675777
51,coquimbo,-29.9533,-71.3436,56.93,100,75,4.61,CL,1692675777
52,bridgewater,44.3835,-64.5155,66.11,95,100,1.14,CA,1692675510
53,tshikapa,-6.4167,20.8,74.01,41,4,1.68,CD,1692675778
54,bodo,67.28,14.405,56.77,98,75,3.44,NO,1692675778
55,argo,37.6333,22.7333,87.78,33,0,8.68,GR,1692675778
56,ust-tsilma,65.441,52.1498,44.51,95,97,3.13,RU,1692675778
57,weno,7.4515,151.8468,87.75,70,75,0.0,FM,1692675779
58,bang saphan,11.2126,99.5117,90.75,53,91,6.55,TH,1692675780
59,georgetown,5.4112,100.3354,85.98,74,40,7.0,MY,1692675683
60,zag,46.9441,99.165,60.15,42,67,3.53,MN,1692675780
61,tazovsky,67.4667,78.7,52.54,64,98,4.32,RU,1692675780
62,istgah-e rah ahan-e garmsar,35.2346,52.3094,87.57,25,1,4.38,IR,1692675780
63,ancud,-41.8697,-73.8203,46.36,84,42,15.99,CL,1692675780
64,khovd,48.0056,91.6419,67.06,41,2,7.36,MN,1692675780
65,sawakin,19.1059,37.3321,92.71,48,99,16.6,SD,1692675780
66,grytviken,-54.2811,-36.5092,24.48,86,93,9.64,GS,1692675781
67,guanica,17.9716,-66.908,82.04,70,100,17.36,PR,1692675781
68,sikasso,10.9167,-7.0,71.55,97,100,2.46,ML,1692675781
69,ust-nera,64.5667,143.2,48.54,75,100,6.33,RU,1692675781
70,iqaluit,63.7506,-68.5145,46.13,81,75,9.22,CA,1692675781
71,mount isa,-20.7333,139.5,82.17,12,90,5.75,AU,1692675781
